Date : 2019-11-06 20:19:24
Directory : c:\Users\nicchl01\Downloads\projects\pickEm
Total : 98 files,  17926 codes, 263 comments, 699 blanks, all 18888 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| SPA\src\app\models\weeks.ts                             | TypeScript |         12 |          0 |          2 |         14 |
| SPA\src\app\navbar\navbar.component.css                 | CSS        |         66 |          0 |         12 |         78 |
| SPA\src\app\navbar\navbar.component.html                | HTML       |         13 |          0 |          8 |         21 |
| SPA\src\app\navbar\navbar.component.ts                  | TypeScript |         26 |          0 |         12 |         38 |
| SPA\src\app\pick-em\pick-em.component.css               | CSS        |        159 |          1 |         42 |        202 |
| SPA\src\app\pick-em\pick-em.component.html              | HTML       |         65 |          1 |         16 |         82 |
| SPA\src\app\pick-em\pick-em.component.ts                | TypeScript |         88 |          3 |         30 |        121 |
| SPA\src\app\routes.ts                                   | TypeScript |         16 |          0 |          4 |         20 |
| SPA\src\app\services\alertify.service.ts                | TypeScript |         29 |          1 |          5 |         35 |
| SPA\src\app\services\auth.service.ts                    | TypeScript |         54 |          4 |         16 |         74 |
| SPA\src\app\services\game.service.ts                    | TypeScript |         62 |          5 |         13 |         80 |
| SPA\src\app\times-up\times-up.component.css             | CSS        |        109 |          0 |         19 |        128 |
| SPA\src\app\times-up\times-up.component.html            | HTML       |         11 |          0 |          8 |         19 |
| SPA\src\app\times-up\times-up.component.spec.ts         | TypeScript |         20 |          0 |          6 |         26 |
| SPA\src\app\times-up\times-up.component.ts              | TypeScript |         11 |          0 |          5 |         16 |
| SPA\src\app\user-form\user-form.component.css           | CSS        |        107 |          0 |          8 |        115 |
| SPA\src\app\user-form\user-form.component.html          | HTML       |         86 |          6 |         13 |        105 |
| SPA\src\app\user-form\user-form.component.ts            | TypeScript |         58 |          2 |         14 |         74 |
| SPA\src\environments\environment.prod.ts                | TypeScript |         12 |          0 |          1 |         13 |
| SPA\src\environments\environment.ts                     | TypeScript |         12 |         10 |          3 |         25 |
| SPA\src\index.html                                      | HTML       |         18 |          0 |          2 |         20 |
| SPA\src\karma.conf.js                                   | JavaScript |         28 |          2 |          1 |         31 |
| SPA\src\main.ts                                         | TypeScript |          9 |          0 |          4 |         13 |
| SPA\src\polyfills.ts                                    | TypeScript |          2 |         63 |         16 |         81 |
| SPA\src\styles.css                                      | CSS        |          3 |          1 |          0 |          4 |
| SPA\src\test.ts                                         | TypeScript |         13 |          4 |          4 |         21 |
| SPA\src\tsconfig.app.json                               | JSON       |         10 |          3 |          0 |         13 |
| SPA\src\tsconfig.spec.json                              | JSON       |         19 |          0 |          1 |         20 |
| SPA\src\tslint.json                                     | JSON       |         17 |          0 |          1 |         18 |
| SPA\test.js                                             | JavaScript |          0 |          0 |          1 |          1 |
| SPA\tsconfig.json                                       | JSON       |         20 |          0 |          1 |         21 |
| SPA\tslint.json                                         | JSON       |        130 |          0 |          1 |        131 |
| api\.dockerignore                                       | Ignore     |          1 |          0 |          1 |          2 |
| api\Dockerfile                                          | Dockerfile |          5 |          0 |          6 |         11 |
| api\controllers\gamesController.js                      | JavaScript |         15 |          5 |         12 |         32 |
| api\controllers\mailController.js                       | JavaScript |         40 |          3 |          7 |         50 |
| api\controllers\picksController.js                      | JavaScript |         53 |         11 |         15 |         79 |
| api\controllers\resultsController.js                    | JavaScript |         11 |          4 |          3 |         18 |
| api\controllers\weekController.js                       | JavaScript |         61 |          3 |         22 |         86 |
| api\controllers\winnerController.js                     | JavaScript |         38 |          7 |         12 |         57 |
| api\models\game.js                                      | JavaScript |         12 |          0 |          9 |         21 |
| api\models\pick.js                                      | JavaScript |         16 |          0 |          4 |         20 |
| api\models\result.js                                    | JavaScript |         12 |          0 |          3 |         15 |
| api\package-lock.json                                   | JSON       |      2,871 |          0 |          1 |      2,872 |
| api\package.json                                        | JSON       |         23 |          0 |          1 |         24 |
| api\routes\games.js                                     | JavaScript |          7 |          0 |          6 |         13 |
| api\routes\mail.js                                      | JavaScript |          5 |          0 |          1 |          6 |
| api\routes\picks.js                                     | JavaScript |          8 |          0 |          3 |         11 |
| api\routes\results.js                                   | JavaScript |          7 |          0 |          3 |         10 |
| api\routes\week.js                                      | JavaScript |          5 |          0 |          1 |          6 |
| api\routes\winner.js                                    | JavaScript |          7 |          0 |          6 |         13 |
| api\server.js                                           | JavaScript |         33 |          8 |         10 |         51 |
| docker-compose.yml                                      | YAML       |         35 |          0 |          1 |         36 |
| web_scraper\Dockerfile                                  | Dockerfile |         20 |          2 |         14 |         36 |
| web_scraper\data.py                                     | Python     |          7 |          0 |          3 |         10 |
| web_scraper\getGames.py                                 | Python     |        183 |         22 |         60 |        265 |
| web_scraper\getScores.py                                | Python     |         89 |          3 |         35 |        127 |
| web_scraper\getWinner.py                                | Python     |         11 |          8 |         12 |         31 |
| Total                                                   |            |     17,926 |        263 |        699 |     18,888 |
+---------------------------------------------------------+------------+------------+------------+------------+------------+
