filename, language, Ignore, YAML, Markdown, HTML, JSON, Properties, Dockerfile, JavaScript, Python, TypeScript, CSS, comment, blank, total
SPA\src\app\services\alertify.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 5, 35
SPA\src\app\services\auth.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 4, 16, 74
SPA\src\app\services\game.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 5, 13, 80
SPA\src\app\times-up\times-up.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 19, 128
SPA\src\app\times-up\times-up.component.html, HTML, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
SPA\src\app\times-up\times-up.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
SPA\src\app\times-up\times-up.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
SPA\src\app\user-form\user-form.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 8, 115
SPA\src\app\user-form\user-form.component.html, HTML, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 6, 13, 105
SPA\src\app\user-form\user-form.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 2, 14, 74
SPA\src\environments\environment.prod.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
SPA\src\environments\environment.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 10, 3, 25
SPA\src\index.html, HTML, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
SPA\src\karma.conf.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 1, 31
SPA\src\main.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
SPA\src\polyfills.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 63, 16, 81
SPA\src\styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4
SPA\src\test.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 4, 21
SPA\src\tsconfig.app.json, JSON, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 0, 13
SPA\src\tsconfig.spec.json, JSON, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
SPA\src\tslint.json, JSON, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
SPA\test.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
SPA\tsconfig.json, JSON, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
SPA\tslint.json, JSON, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 1, 131
api\.dockerignore, Ignore, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
api\Dockerfile, Dockerfile, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 6, 11
api\controllers\gamesController.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 12, 32
api\controllers\mailController.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 7, 50
api\controllers\picksController.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 11, 15, 79
api\controllers\resultsController.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 3, 18
